"label","name","lat","lng"
"Bus Stop","Opp 330 Dynon Rd (West Melbourne)",-37.802148,144.92008
"Bus Stop","Flemington Racecourse/Fisher Pde (Flemington)",-37.78944,144.903687
"Bus Stop","Melbourne University/Royal Pde (Parkville)",-37.79843,144.957856
"Bus Stop","Nicholson St/Elgin St (Fitzroy)",-37.797984,144.974313
"Bus Stop","Rathdowne St/Elgin St (Carlton)",-37.797619,144.970927
"Bus Stop","Victoria St/Rathdowne St (Carlton)",-37.806851,144.969016
"Bus Stop","Flinders Lane/Queen St (Melbourne City)",-37.818093,144.962006
"Bus Stop","Flinders Lane/Queen St (Melbourne City)",-37.817685,144.961824
"Bus Stop","Collins St/Queen St (Melbourne City)",-37.816648,144.961296
"Bus Stop","Little Collins St/Queen St (Melbourne City)",-37.816176,144.961104
"Bus Stop","Bourke St/Queen St (Melbourne City)",-37.815268,144.960698
"Bus Stop","Bourke St/Queen St (Melbourne City)",-37.814532,144.960366
"Bus Stop","Bourke St/Queen St (Melbourne City)",-37.814468,144.960322
"Bus Stop","Lonsdale St/Queen St (Melbourne City)",-37.813369,144.95983
"Bus Stop","La Trobe St/Queen St (Melbourne City)",-37.811698,144.959069
"Bus Stop","Queen Victoria Market/Franklin St (Melbourne City)",-37.809494,144.956188
"Bus Stop","Queen Victoria Market/Peel St (Melbourne City)",-37.80933,144.955534
"Bus Stop","William St/A'Beckett St (Melbourne City)",-37.810488,144.956331
"Bus Stop","La Trobe St/Queen St (Melbourne City)",-37.810604,144.95885
"Bus Stop","Lonsdale St/Queen St (Melbourne City)",-37.812548,144.959727
"Bus Stop","Little Bourke St/Queen St (Melbourne City)",-37.813792,144.960295
"Bus Stop","Bourke St/Queen St (Melbourne City)",-37.814628,144.960681
"Bus Stop","Little Collins St/Queen St (Melbourne City)",-37.815682,144.961175
"Bus Stop","Casino East/Queens Bridge St (Southbank)",-37.82209,144.961214
"Bus Stop","Kavanagh St/Southbank Bvd (Southbank)",-37.823097,144.965776
"Bus Stop","Victorian College of the Arts/Southbank Bvd (Southbank)",-37.823707,144.968248
"Bus Stop","City Rd/Southbank Bvd (Southbank)",-37.823122,144.964651
"Bus Stop","Casino East/Queens Bridge St (Southbank)",-37.821694,144.961259
"Bus Stop","Old Melbourne Gaol/Russell St (Melbourne City)",-37.807495,144.965637
"Bus Stop","Jeffcott St/Spencer St (West Melbourne)",-37.811891,144.950999
"Bus Stop","Dudley St/Spencer St (West Melbourne)",-37.809809,144.949932
"Bus Stop","Dudley St/Spencer St (West Melbourne)",-37.810496,144.950049
"Bus Stop","Jeffcott St/Spencer St (West Melbourne)",-37.811814,144.950683
"Bus Stop","Spencer St/Dudley St (West Melbourne)",-37.809992,144.950597
