census_year,block_id,property_id,base_property_id,building_address,clue_small_area,business_address,trading_name,industry_anzsic4_code,industry_anzsic4_description,seating_type,number_of_seats,longitude,latitude,customer_rate
2007,434,109698,109698,225-229 Victoria Street WEST MELBOURNE 3003,West Melbourne (Residential),Ground  225-229 Victoria Street WEST MELBOURNE 3003,Home Barista Institute,4511,Cafes and Restaurants,Seats - Indoor,52,144.95263,-37.80751,4.1
2015,621,100353,100353,372-380 Albert Street EAST MELBOURNE 3002,East Melbourne,Shop 1 372-376 Albert Street EAST MELBOURNE 3002,Degani @ East Melbourne,4511,Cafes and Restaurants,Seats - Indoor,46,144.9787,-37.80964,4.1
2007,17,103591,103591,1-9 Exhibition Street MELBOURNE 3000,Melbourne (CBD),Shop 4 9 Exhibition Street MELBOURNE 3000,Red Lettuce Cafe,4511,Cafes and Restaurants,Seats - Indoor,16,144.97073,-37.81748,3.7
2018,42,110095,101155,555 Bourke Street MELBOURNE 3000,Melbourne (CBD),Shop 9 555 Bourke Street MELBOURNE 3000,Pok Pok Junior,4511,Cafes and Restaurants,Seats - Outdoor,40,144.95781,-37.81637,3.3
2015,44,105959,105959,358-360 Little Collins Street MELBOURNE 3000,Melbourne (CBD),Part Ground  360 Little Collins Street MELBOURNE 3000,Gills Diner,4511,Cafes and Restaurants,Seats - Indoor,70,144.96264,-37.81528,4.1
2014,803,111175,110477,8 Whiteman Street SOUTHBANK 3006,Southbank,Shop 30 Ground  8 Whiteman Street SOUTHBANK 3006,Lucky Chans,4511,Cafes and Restaurants,Seats - Outdoor,140,144.95834,-37.82316,4.2
2004,25,101789,101789,252-254 Flinders Lane MELBOURNE 3000,Melbourne (CBD),8-10 Flinders Lane MELBOURNE 3000,Issus Cafe Bar,4511,Cafes and Restaurants,Seats - Indoor,40,144.96428,-37.81824,4.3
2014,58,504545,504545,14 Bourke Street MELBOURNE 3000,Melbourne (CBD),14 Bourke Street MELBOURNE 3000,Red Pepper Indian Restaurant,4511,Cafes and Restaurants,Seats - Outdoor,20,144.97246,-37.81126,3.9
2017,731,110377,110377,305-331 City Road SOUTHBANK 3006,Southbank,305-331 City Road SOUTHBANK 3006,McDonald's,4511,Cafes and Restaurants,Seats - Outdoor,40,144.95791,-37.82824,3.8
2010,38,108982,108982,93-101 Spring Street MELBOURNE 3000,Melbourne (CBD),Ground  1-3 Spring Street MELBOURNE 3000,Cafe Excello,4511,Cafes and Restaurants,Seats - Indoor,32,144.97318,-37.8126,3.3
