"lat","lng","name"
-37.810355,144.961117,"5-Elizabeth St/La Trobe St (Melbourne City)"
-37.809647,144.963465,"6-Swanston St/La Trobe St (Melbourne City)"
-37.808909,144.966098,"7-Russell St/La Trobe St (Melbourne City)"
-37.808185,144.968537,"8-Exhibition St/La Trobe St (Melbourne City)"
-37.807656,144.970266,"9-Victoria St/La Trobe St (Melbourne City)"
-37.807836,144.97284,"10-Nicholson St/Victoria Pde (Carlton)"
-37.814705,144.944901,"D2-Central Pier/Harbour Esp (Docklands)"
-37.817819,144.946246,"D3-Stadium Precinct/Harbour Esp (Docklands)"
-37.821466,144.94761,"D4-Docklands Park/Harbour Esp (Docklands)"
-37.821835,144.951213,"D5-South Wharf/Wurundjeri Way (Docklands)"
-37.821471,144.953608,"D6-Flinders Street West/Flinders St (Docklands)"
-37.79496,144.946947,"18-Chapman St/Abbotsford St (North Melbourne)"
-37.796307,144.946694,"17-Molesworth St/Abbotsford St (North Melbourne)"
-37.798284,144.946344,"16-Haines St/Abbotsford St (North Melbourne)"
-37.800997,144.945849,"15-Arden St/Abbotsford St (North Melbourne)"
-37.80239,144.945628,"14-Queensberry St/Abbotsford St (North Melbourne)"
-37.79138,144.949397,"23-Royal Park/Royal Park (Parkville)"
-37.788016,144.949751,"24-Elliott Ave/Royal Park (Parkville)"
-37.784539,144.948848,"25-State Netball Hockey Centre/Royal Park (Parkville)"
-37.782617,144.949219,"26-Melbourne Zoo/Royal Park (Parkville)"
-37.780753,144.95136,"27-Royal Park Station/Royal Park (Parkville)"
-37.777241,144.949969,"28-Park St/Royal Park (Parkville)"
-37.819063,144.961797,"3-Market St/Flinders St (Melbourne City)"
-37.818238,144.964626,"4-Elizabeth St/Flinders St (Melbourne City)"
-37.81756,144.967132,"5-Swanston St/Flinders St (Melbourne City)"
-37.816564,144.9705,"6-Russell St/Flinders St (Melbourne City)"
-37.815319,144.974612,"8-Spring St/Flinders St (Melbourne City)"
-37.815453,144.977164,"9-Lansdowne St/Wellington Pde (East Melbourne)"
-37.81575,144.979791,"10-Jolimont Rd/Wellington Pde (East Melbourne)"
-37.816341,144.984819,"11-Jolimont Station-MCG/Wellington Pde (East Melbourne)"
-37.81654,144.986983,"13-Simpson St/Wellington Pde (East Melbourne)"
-37.817388,144.989675,"14-Punt Rd/Wellington Pde (Melbourne City)"
-37.816603,144.98697,"13-Simpson St/Wellington Pde (East Melbourne)"
-37.816246,144.983992,"11-Jolimont Station-MCG/Wellington Pde (East Melbourne)"
-37.815769,144.979325,"10-Jolimont Rd/Wellington Pde (East Melbourne)"
-37.815471,144.976664,"9-Lansdowne St/Wellington Pde (Melbourne City)"
-37.815537,144.974174,"8-Spring St/Flinders St (Melbourne City)"
-37.819587,144.97913,"7B-Rod Laver Arena/MCG Gates 1-3 (Melbourne City)"
-37.822384,144.98353,"7C-MCG Gates 4-7/John Cain Arena (Melbourne City)"
-37.824135,144.986857,"7D-Olympic Boulevard (Melbourne City)"
-37.823827,144.986751,"7D-Olympic Boulevard (Melbourne City)"
-37.822137,144.982798,"7C-MCG Gates 4-7/John Cain Arena (Melbourne City)"
-37.819349,144.978421,"7B-Rod Laver Arena/MCG Gates 1-3 (Melbourne City)"
-37.816657,144.970168,"6-Russell St/Flinders St (Melbourne City)"
-37.817756,144.966491,"5-Swanston St/Flinders St (Melbourne City)"
-37.818412,144.96428,"4-Elizabeth St/Flinders St (Melbourne City)"
-37.819306,144.961279,"3-Market St/Flinders St (Melbourne City)"
-37.821726,144.953215,"D6-Victoria Police Centre/Flinders St (Southbank)"
-37.822001,144.950913,"D5-South Wharf/Wurundjeri Way (Docklands)"
-37.821725,144.947501,"D4-Docklands Park/Harbour Esp (Docklands)"
-37.817463,144.94596,"D3-Stadium Precinct/Harbour Esp (Docklands)"
-37.814249,144.944584,"D2-CentralPier/Harbour Esp (Docklands)"
-37.825688,144.956684,"125-Clarendon St/Whiteman St (Southbank)"
-37.823289,144.956057,"124A-Casino/MCEC/Clarendon St (Southbank)"
-37.821554,144.955265,"124-Batman Park/Spencer St (Melbourne City)"
-37.818767,144.954092,"122-Southern Cross Railway Station/Spencer St (Melbourne City)"
-37.815313,144.952381,"120-Lonsdale St/Spencer St (Melbourne City)"
-37.813405,144.951502,"119-La Trobe St/Spencer St (Melbourne City)"
-37.81496,144.952311,"120-Lonsdale St/Spencer St (Melbourne City)"
-37.818319,144.953718,"122-Southern Cross Railway Station/Spencer St (Melbourne City)"
-37.821773,144.955406,"124-Batman Park/Spencer St (Melbourne City)"
-37.823591,144.95631,"124A-Casino/MCEC/Clarendon St (Southbank)"
-37.815874,144.95825,"5-Bourke St/William St (Melbourne City)"
-37.811996,144.956517,"7-Flagstaff Railway Station/William St (Melbourne City)"
-37.809743,144.955454,"8-Franklin St/William St (Melbourne City)"
-37.805391,144.956029,"10-Victoria St/Peel St (West Melbourne)"
-37.805698,144.956077,"10-Victoria St/Peel St (West Melbourne)"
-37.807442,144.955779,"9-Queen Victoria Market/Peel St (North Melbourne)"
-37.807216,144.955751,"9-Queen Victoria Market/39 Peel St (North Melbourne)"
-37.809428,144.955474,"8-Franklin St/Peel St (Melbourne City)"
-37.812461,144.956799,"7-Flagstaff Railway Station/William St (Melbourne City)"
-37.81544,144.95816,"5-Bourke St/William St (Melbourne City)"
-37.817457,144.959092,"4-Collins St/William St (Melbourne City)"
-37.819513,144.96124,"1-Flinders St/Queens Bridge St (Melbourne City)"
-37.822117,144.961225,"115-Casino/Southbank/Queens Bridge St (Southbank)"
-37.82961,144.964075,"117-York St/Kings Way (South Melbourne)"
-37.830536,144.965004,"118-Sturt St/Kings Way (Southbank)"
-37.830091,144.965334,"20-Kings Way/Sturt St (Southbank)"
-37.828431,144.965755,"19-Miles St/Sturt St (Southbank)"
-37.825779,144.966634,"18-Grant St/Sturt St (Southbank)"
