"Place","Distance","Theme","Count"
"The Ian Potter Centre: NGV Australia","500m - 1km","Public and Institutional Facilities",22
"The Ian Potter Centre: NGV Australia","500m - 1km","Retail",2
"The Ian Potter Centre: NGV Australia","1km - 5km","Health Services",10
"The Ian Potter Centre: NGV Australia","1km - 5km","Leisure and Recreation",46
"The Ian Potter Centre: NGV Australia","1km - 5km","Place Of Assembly",21
"The Ian Potter Centre: NGV Australia","1km - 5km","Place of Worship",20
"The Ian Potter Centre: NGV Australia","1km - 5km","Public and Institutional Facilities",26
"The Ian Potter Centre: NGV Australia","1km - 5km","Retail",2
"The Ian Potter Centre: NGV Australia","5km - 10km","Leisure and Recreation",6
"Channel 7 - Melbourne Broadcast Centre","Within 500m","Leisure and Recreation",3
"Channel 7 - Melbourne Broadcast Centre","Within 500m","Place Of Assembly",1
"Channel 7 - Melbourne Broadcast Centre","500m - 1km","Leisure and Recreation",7
"Channel 7 - Melbourne Broadcast Centre","500m - 1km","Place Of Assembly",2
"Channel 7 - Melbourne Broadcast Centre","500m - 1km","Place of Worship",2
"Channel 7 - Melbourne Broadcast Centre","500m - 1km","Public and Institutional Facilities",3
"Channel 7 - Melbourne Broadcast Centre","1km - 5km","Health Services",11
"Channel 7 - Melbourne Broadcast Centre","1km - 5km","Leisure and Recreation",57
"Channel 7 - Melbourne Broadcast Centre","1km - 5km","Place Of Assembly",37
"Channel 7 - Melbourne Broadcast Centre","1km - 5km","Place of Worship",29
"Channel 7 - Melbourne Broadcast Centre","1km - 5km","Public and Institutional Facilities",51
"Channel 7 - Melbourne Broadcast Centre","1km - 5km","Retail",4
"AAMI Park","Within 500m","Leisure and Recreation",3
"AAMI Park","500m - 1km","Leisure and Recreation",8
"AAMI Park","500m - 1km","Place Of Assembly",2
"AAMI Park","500m - 1km","Public and Institutional Facilities",2
"AAMI Park","1km - 5km","Health Services",11
"AAMI Park","1km - 5km","Leisure and Recreation",46
"AAMI Park","1km - 5km","Place Of Assembly",38
"AAMI Park","1km - 5km","Place of Worship",28
"AAMI Park","1km - 5km","Public and Institutional Facilities",50
"AAMI Park","1km - 5km","Retail",3
"AAMI Park","5km - 10km","Leisure and Recreation",10
"AAMI Park","5km - 10km","Place of Worship",3
"AAMI Park","5km - 10km","Public and Institutional Facilities",2
"AAMI Park","5km - 10km","Retail",1
"Central Pier","Within 500m","Leisure and Recreation",3
"Central Pier","Within 500m","Place Of Assembly",1
"Central Pier","Within 500m","Public and Institutional Facilities",1
"Central Pier","500m - 1km","Leisure and Recreation",6
"Central Pier","500m - 1km","Place Of Assembly",2
"Central Pier","500m - 1km","Public and Institutional Facilities",1
"Central Pier","1km - 5km","Health Services",11
"Central Pier","1km - 5km","Leisure and Recreation",58
"Central Pier","1km - 5km","Place Of Assembly",37
"Central Pier","1km - 5km","Place of Worship",31
"Central Pier","1km - 5km","Public and Institutional Facilities",52
"Central Pier","1km - 5km","Retail",4
"Melbourne Star Observation Wheel","Within 500m","Leisure and Recreation",4
"Melbourne Star Observation Wheel","Within 500m","Public and Institutional Facilities",1
"Melbourne Star Observation Wheel","500m - 1km","Leisure and Recreation",2
"Melbourne Star Observation Wheel","500m - 1km","Place Of Assembly",1
"Melbourne Star Observation Wheel","500m - 1km","Retail",1
"Melbourne Star Observation Wheel","1km - 5km","Health Services",10
"Melbourne Star Observation Wheel","1km - 5km","Leisure and Recreation",60
"Melbourne Star Observation Wheel","1km - 5km","Place Of Assembly",39
"Melbourne Star Observation Wheel","1km - 5km","Place of Worship",29
"Melbourne Star Observation Wheel","1km - 5km","Public and Institutional Facilities",52
"Melbourne Star Observation Wheel","1km - 5km","Retail",3
"Melbourne Star Observation Wheel","5km - 10km","Health Services",1
"Melbourne Star Observation Wheel","5km - 10km","Leisure and Recreation",1
"Melbourne Star Observation Wheel","5km - 10km","Place of Worship",2
"Melbourne Star Observation Wheel","5km - 10km","Public and Institutional Facilities",1
"Kangan Batman Tafe","Within 500m","Leisure and Recreation",1
"Kangan Batman Tafe","Within 500m","Place Of Assembly",4
"Kangan Batman Tafe","Within 500m","Public and Institutional Facilities",2
"Kangan Batman Tafe","500m - 1km","Leisure and Recreation",7
"Kangan Batman Tafe","500m - 1km","Place Of Assembly",2
"Kangan Batman Tafe","500m - 1km","Place of Worship",1
"Kangan Batman Tafe","1km - 5km","Health Services",11
"Kangan Batman Tafe","1km - 5km","Leisure and Recreation",58
"Kangan Batman Tafe","1km - 5km","Place Of Assembly",34
"Kangan Batman Tafe","1km - 5km","Place of Worship",30
"Kangan Batman Tafe","1km - 5km","Public and Institutional Facilities",52
"Kangan Batman Tafe","1km - 5km","Retail",4
"Kangan Batman Tafe","5km - 10km","Leisure and Recreation",1
"Margaret Court Arena","Within 500m","Leisure and Recreation",6
"Margaret Court Arena","Within 500m","Public and Institutional Facilities",1
"Margaret Court Arena","500m - 1km","Leisure and Recreation",12
"Margaret Court Arena","500m - 1km","Place Of Assembly",13
"Margaret Court Arena","500m - 1km","Place of Worship",3
"Margaret Court Arena","500m - 1km","Public and Institutional Facilities",10
"Margaret Court Arena","1km - 5km","Health Services",11
"Margaret Court Arena","1km - 5km","Leisure and Recreation",42
"Margaret Court Arena","1km - 5km","Place Of Assembly",27
"Margaret Court Arena","1km - 5km","Place of Worship",26
"Margaret Court Arena","1km - 5km","Public and Institutional Facilities",41
"Margaret Court Arena","1km - 5km","Retail",4
"Margaret Court Arena","5km - 10km","Leisure and Recreation",7
"Margaret Court Arena","5km - 10km","Place of Worship",2
"Margaret Court Arena","5km - 10km","Public and Institutional Facilities",2
"MTC Theatre","Within 500m","Leisure and Recreation",2
"MTC Theatre","Within 500m","Place Of Assembly",8
"MTC Theatre","Within 500m","Place of Worship",1
"MTC Theatre","Within 500m","Public and Institutional Facilities",12
"MTC Theatre","500m - 1km","Leisure and Recreation",13
"MTC Theatre","500m - 1km","Place Of Assembly",5
"MTC Theatre","500m - 1km","Place of Worship",1
"MTC Theatre","500m - 1km","Public and Institutional Facilities",6
"MTC Theatre","1km - 5km","Health Services",11
"MTC Theatre","1km - 5km","Leisure and Recreation",47
"MTC Theatre","1km - 5km","Place Of Assembly",27
"MTC Theatre","1km - 5km","Place of Worship",29
"MTC Theatre","1km - 5km","Public and Institutional Facilities",35
"MTC Theatre","1km - 5km","Retail",4
"MTC Theatre","5km - 10km","Leisure and Recreation",5
"MTC Theatre","5km - 10km","Public and Institutional Facilities",1
"NGV International","Within 500m","Leisure and Recreation",4
"NGV International","Within 500m","Place Of Assembly",7
"NGV International","Within 500m","Place of Worship",1
"NGV International","Within 500m","Public and Institutional Facilities",13
"NGV International","500m - 1km","Leisure and Recreation",11
"NGV International","500m - 1km","Place Of Assembly",8
"NGV International","500m - 1km","Place of Worship",4
"NGV International","500m - 1km","Public and Institutional Facilities",6
"NGV International","1km - 5km","Health Services",11
"NGV International","1km - 5km","Leisure and Recreation",47
"NGV International","1km - 5km","Place Of Assembly",25
"NGV International","1km - 5km","Place of Worship",26
"NGV International","1km - 5km","Public and Institutional Facilities",34
"NGV International","1km - 5km","Retail",4
"NGV International","5km - 10km","Leisure and Recreation",5
"NGV International","5km - 10km","Public and Institutional Facilities",1
"Birrarung Marr","Within 500m","Leisure and Recreation",7
"Birrarung Marr","Within 500m","Place Of Assembly",3
"Birrarung Marr","Within 500m","Place of Worship",1
"Birrarung Marr","Within 500m","Public and Institutional Facilities",2
"Birrarung Marr","500m - 1km","Health Services",1
"Birrarung Marr","500m - 1km","Leisure and Recreation",11
"Birrarung Marr","500m - 1km","Place Of Assembly",16
"Birrarung Marr","500m - 1km","Place of Worship",9
"Birrarung Marr","500m - 1km","Public and Institutional Facilities",17
"Birrarung Marr","500m - 1km","Retail",2
"Birrarung Marr","1km - 5km","Health Services",10
"Birrarung Marr","1km - 5km","Leisure and Recreation",43
"Birrarung Marr","1km - 5km","Place Of Assembly",21
"Birrarung Marr","1km - 5km","Place of Worship",21
"Birrarung Marr","1km - 5km","Public and Institutional Facilities",35
"Birrarung Marr","1km - 5km","Retail",2
"Birrarung Marr","5km - 10km","Leisure and Recreation",6
"Artplay","Within 500m","Leisure and Recreation",6
"Artplay","Within 500m","Place Of Assembly",9
"Artplay","Within 500m","Place of Worship",3
"Artplay","Within 500m","Public and Institutional Facilities",3
"Artplay","500m - 1km","Health Services",1
"Artplay","500m - 1km","Leisure and Recreation",10
"Artplay","500m - 1km","Place Of Assembly",11
"Artplay","500m - 1km","Place of Worship",4
"Artplay","500m - 1km","Public and Institutional Facilities",22
"Artplay","500m - 1km","Retail",2
"Artplay","1km - 5km","Health Services",10
"Artplay","1km - 5km","Leisure and Recreation",45
"Artplay","1km - 5km","Place Of Assembly",20
"Artplay","1km - 5km","Place of Worship",24
"Artplay","1km - 5km","Public and Institutional Facilities",29
"Artplay","1km - 5km","Retail",2
"Artplay","5km - 10km","Leisure and Recreation",6
"Riverslide Skate Park","Within 500m","Leisure and Recreation",7
"Riverslide Skate Park","Within 500m","Place Of Assembly",7
"Riverslide Skate Park","Within 500m","Public and Institutional Facilities",3
"Riverslide Skate Park","500m - 1km","Leisure and Recreation",9
"Riverslide Skate Park","500m - 1km","Place Of Assembly",10
"Riverslide Skate Park","500m - 1km","Place of Worship",5
"Riverslide Skate Park","500m - 1km","Public and Institutional Facilities",19
"Riverslide Skate Park","1km - 5km","Health Services",11
"Riverslide Skate Park","1km - 5km","Leisure and Recreation",45
"Riverslide Skate Park","1km - 5km","Place Of Assembly",23
"Riverslide Skate Park","1km - 5km","Place of Worship",25
"Riverslide Skate Park","1km - 5km","Public and Institutional Facilities",31
"Riverslide Skate Park","1km - 5km","Retail",4
"Riverslide Skate Park","5km - 10km","Leisure and Recreation",6
"Riverslide Skate Park","5km - 10km","Place of Worship",1
"Riverslide Skate Park","5km - 10km","Public and Institutional Facilities",1
"Royal Park","Within 500m","Leisure and Recreation",1
"Royal Park","500m - 1km","Health Services",4
"Royal Park","500m - 1km","Leisure and Recreation",4
"Royal Park","500m - 1km","Place of Worship",1
"Royal Park","500m - 1km","Public and Institutional Facilities",4
"Royal Park","1km - 5km","Health Services",6
"Royal Park","1km - 5km","Leisure and Recreation",58
"Royal Park","1km - 5km","Place Of Assembly",39
"Royal Park","1km - 5km","Place of Worship",27
"Royal Park","1km - 5km","Public and Institutional Facilities",47
"Royal Park","1km - 5km","Retail",4
"Royal Park","5km - 10km","Health Services",1
"Royal Park","5km - 10km","Leisure and Recreation",4
"Royal Park","5km - 10km","Place Of Assembly",1
"Royal Park","5km - 10km","Place of Worship",3
"Royal Park","5km - 10km","Public and Institutional Facilities",3
"Shrine of Rembrance Reserve","Within 500m","Leisure and Recreation",1
"Shrine of Rembrance Reserve","Within 500m","Place of Worship",1
"Shrine of Rembrance Reserve","Within 500m","Public and Institutional Facilities",2
"Shrine of Rembrance Reserve","500m - 1km","Leisure and Recreation",2
"Shrine of Rembrance Reserve","500m - 1km","Place Of Assembly",4
"Shrine of Rembrance Reserve","500m - 1km","Public and Institutional Facilities",2
"Shrine of Rembrance Reserve","1km - 5km","Health Services",11
"Shrine of Rembrance Reserve","1km - 5km","Leisure and Recreation",51
"Shrine of Rembrance Reserve","1km - 5km","Place Of Assembly",36
"Shrine of Rembrance Reserve","1km - 5km","Place of Worship",27
"Shrine of Rembrance Reserve","1km - 5km","Public and Institutional Facilities",48
"Shrine of Rembrance Reserve","1km - 5km","Retail",4
"Shrine of Rembrance Reserve","5km - 10km","Leisure and Recreation",13
"Shrine of Rembrance Reserve","5km - 10km","Place of Worship",3
"Shrine of Rembrance Reserve","5km - 10km","Public and Institutional Facilities",2
"Royal Botanic Gardens","Within 500m","Leisure and Recreation",1
"Royal Botanic Gardens","Within 500m","Public and Institutional Facilities",1
"Royal Botanic Gardens","500m - 1km","Leisure and Recreation",6
"Royal Botanic Gardens","500m - 1km","Place Of Assembly",1
"Royal Botanic Gardens","500m - 1km","Place of Worship",2
"Royal Botanic Gardens","500m - 1km","Public and Institutional Facilities",3
"Royal Botanic Gardens","1km - 5km","Health Services",11
"Royal Botanic Gardens","1km - 5km","Leisure and Recreation",46
"Royal Botanic Gardens","1km - 5km","Place Of Assembly",39
"Royal Botanic Gardens","1km - 5km","Place of Worship",25
"Royal Botanic Gardens","1km - 5km","Public and Institutional Facilities",48
"Royal Botanic Gardens","1km - 5km","Retail",3
"Royal Botanic Gardens","5km - 10km","Leisure and Recreation",14
"Royal Botanic Gardens","5km - 10km","Place of Worship",4
"Royal Botanic Gardens","5km - 10km","Public and Institutional Facilities",2
"Royal Botanic Gardens","5km - 10km","Retail",1
"Yarra Park","Within 500m","Leisure and Recreation",3
"Yarra Park","Within 500m","Place Of Assembly",2
"Yarra Park","500m - 1km","Health Services",1
"Yarra Park","500m - 1km","Leisure and Recreation",9
"Yarra Park","500m - 1km","Place Of Assembly",2
"Yarra Park","500m - 1km","Place of Worship",1
"Yarra Park","1km - 5km","Health Services",10
"Yarra Park","1km - 5km","Leisure and Recreation",45
"Yarra Park","1km - 5km","Place Of Assembly",36
"Yarra Park","1km - 5km","Place of Worship",28
"Yarra Park","1km - 5km","Public and Institutional Facilities",52
"Yarra Park","1km - 5km","Retail",3
"Yarra Park","5km - 10km","Leisure and Recreation",10
"Yarra Park","5km - 10km","Place of Worship",2
"Yarra Park","5km - 10km","Public and Institutional Facilities",2
"Yarra Park","5km - 10km","Retail",1
"Coronial Services Centre of Victoria","Within 500m","Leisure and Recreation",2
"Coronial Services Centre of Victoria","Within 500m","Place Of Assembly",7
"Coronial Services Centre of Victoria","Within 500m","Place of Worship",1
"Coronial Services Centre of Victoria","Within 500m","Public and Institutional Facilities",13
"Coronial Services Centre of Victoria","500m - 1km","Leisure and Recreation",10
"Coronial Services Centre of Victoria","500m - 1km","Place Of Assembly",9
"Coronial Services Centre of Victoria","500m - 1km","Place of Worship",1
"Coronial Services Centre of Victoria","500m - 1km","Public and Institutional Facilities",5
"Coronial Services Centre of Victoria","1km - 5km","Health Services",11
"Coronial Services Centre of Victoria","1km - 5km","Leisure and Recreation",51
"Coronial Services Centre of Victoria","1km - 5km","Place Of Assembly",24
"Coronial Services Centre of Victoria","1km - 5km","Place of Worship",29
"Coronial Services Centre of Victoria","1km - 5km","Public and Institutional Facilities",36
"Coronial Services Centre of Victoria","1km - 5km","Retail",4
"Coronial Services Centre of Victoria","5km - 10km","Leisure and Recreation",4
"Icehouse","Within 500m","Leisure and Recreation",4
"Icehouse","Within 500m","Public and Institutional Facilities",1
"Icehouse","500m - 1km","Leisure and Recreation",2
"Icehouse","500m - 1km","Place Of Assembly",1
"Icehouse","500m - 1km","Retail",1
"Icehouse","1km - 5km","Health Services",10
"Icehouse","1km - 5km","Leisure and Recreation",60
"Icehouse","1km - 5km","Place Of Assembly",39
"Icehouse","1km - 5km","Place of Worship",29
"Icehouse","1km - 5km","Public and Institutional Facilities",52
"Icehouse","1km - 5km","Retail",3
"Icehouse","5km - 10km","Health Services",1
"Icehouse","5km - 10km","Leisure and Recreation",1
"Icehouse","5km - 10km","Place of Worship",2
"Icehouse","5km - 10km","Public and Institutional Facilities",1
"Darling Square","Within 500m","Health Services",1
"Darling Square","Within 500m","Leisure and Recreation",2
"Darling Square","Within 500m","Place of Worship",1
"Darling Square","500m - 1km","Health Services",2
"Darling Square","500m - 1km","Leisure and Recreation",4
"Darling Square","500m - 1km","Place Of Assembly",5
"Darling Square","500m - 1km","Place of Worship",1
"Darling Square","500m - 1km","Public and Institutional Facilities",1
"Darling Square","1km - 5km","Health Services",8
"Darling Square","1km - 5km","Leisure and Recreation",54
"Darling Square","1km - 5km","Place Of Assembly",35
"Darling Square","1km - 5km","Place of Worship",27
"Darling Square","1km - 5km","Public and Institutional Facilities",51
"Darling Square","1km - 5km","Retail",3
"Darling Square","5km - 10km","Leisure and Recreation",7
"Darling Square","5km - 10km","Place of Worship",2
"Darling Square","5km - 10km","Public and Institutional Facilities",2
"Darling Square","5km - 10km","Retail",1
"Victoria Police Museum","Within 500m","Leisure and Recreation",3
"Victoria Police Museum","Within 500m","Place Of Assembly",5
"Victoria Police Museum","Within 500m","Public and Institutional Facilities",2
"Victoria Police Museum","500m - 1km","Leisure and Recreation",5
"Victoria Police Museum","500m - 1km","Place Of Assembly",2
"Victoria Police Museum","500m - 1km","Place of Worship",1
"Victoria Police Museum","500m - 1km","Public and Institutional Facilities",7
"Victoria Police Museum","1km - 5km","Health Services",11
"Victoria Police Museum","1km - 5km","Leisure and Recreation",57
"Victoria Police Museum","1km - 5km","Place Of Assembly",33
"Victoria Police Museum","1km - 5km","Place of Worship",30
"Victoria Police Museum","1km - 5km","Public and Institutional Facilities",45
"Victoria Police Museum","1km - 5km","Retail",4
"Victoria Police Museum","5km - 10km","Leisure and Recreation",2
"Immigration Museum","Within 500m","Leisure and Recreation",5
"Immigration Museum","Within 500m","Place Of Assembly",1
"Immigration Museum","Within 500m","Public and Institutional Facilities",3
"Immigration Museum","500m - 1km","Leisure and Recreation",4
"Immigration Museum","500m - 1km","Place Of Assembly",17
"Immigration Museum","500m - 1km","Place of Worship",8
"Immigration Museum","500m - 1km","Public and Institutional Facilities",24
"Immigration Museum","500m - 1km","Retail",2
"Immigration Museum","1km - 5km","Health Services",11
"Immigration Museum","1km - 5km","Leisure and Recreation",56
"Immigration Museum","1km - 5km","Place Of Assembly",22
"Immigration Museum","1km - 5km","Place of Worship",23
"Immigration Museum","1km - 5km","Public and Institutional Facilities",27
"Immigration Museum","1km - 5km","Retail",2
"Immigration Museum","5km - 10km","Leisure and Recreation",2
"St Pauls Cathedral","Within 500m","Leisure and Recreation",3
"St Pauls Cathedral","Within 500m","Place Of Assembly",8
"St Pauls Cathedral","Within 500m","Place of Worship",5
"St Pauls Cathedral","Within 500m","Public and Institutional Facilities",7
"St Pauls Cathedral","Within 500m","Retail",1
"St Pauls Cathedral","500m - 1km","Leisure and Recreation",10
"St Pauls Cathedral","500m - 1km","Place Of Assembly",9
"St Pauls Cathedral","500m - 1km","Place of Worship",5
"St Pauls Cathedral","500m - 1km","Public and Institutional Facilities",23
"St Pauls Cathedral","500m - 1km","Retail",1
"St Pauls Cathedral","1km - 5km","Health Services",11
"St Pauls Cathedral","1km - 5km","Leisure and Recreation",49
"St Pauls Cathedral","1km - 5km","Place Of Assembly",23
"St Pauls Cathedral","1km - 5km","Place of Worship",21
"St Pauls Cathedral","1km - 5km","Public and Institutional Facilities",24
"St Pauls Cathedral","1km - 5km","Retail",2
"St Pauls Cathedral","5km - 10km","Leisure and Recreation",5
"Melbourne Wholesale Fish Market","Within 500m","Retail",1
"Melbourne Wholesale Fish Market","500m - 1km","Leisure and Recreation",4
"Melbourne Wholesale Fish Market","500m - 1km","Public and Institutional Facilities",1
"Melbourne Wholesale Fish Market","1km - 5km","Health Services",10
"Melbourne Wholesale Fish Market","1km - 5km","Leisure and Recreation",57
"Melbourne Wholesale Fish Market","1km - 5km","Place Of Assembly",39
"Melbourne Wholesale Fish Market","1km - 5km","Place of Worship",28
"Melbourne Wholesale Fish Market","1km - 5km","Public and Institutional Facilities",51
"Melbourne Wholesale Fish Market","1km - 5km","Retail",3
"Melbourne Wholesale Fish Market","5km - 10km","Health Services",1
"Melbourne Wholesale Fish Market","5km - 10km","Leisure and Recreation",6
"Melbourne Wholesale Fish Market","5km - 10km","Place Of Assembly",1
"Melbourne Wholesale Fish Market","5km - 10km","Place of Worship",3
"Melbourne Wholesale Fish Market","5km - 10km","Public and Institutional Facilities",2
"Fire Services Museum Victoria","Within 500m","Health Services",2
"Fire Services Museum Victoria","Within 500m","Leisure and Recreation",2
"Fire Services Museum Victoria","Within 500m","Place Of Assembly",3
"Fire Services Museum Victoria","Within 500m","Place of Worship",5
"Fire Services Museum Victoria","Within 500m","Public and Institutional Facilities",3
"Fire Services Museum Victoria","500m - 1km","Health Services",3
"Fire Services Museum Victoria","500m - 1km","Leisure and Recreation",4
"Fire Services Museum Victoria","500m - 1km","Place Of Assembly",10
"Fire Services Museum Victoria","500m - 1km","Place of Worship",8
"Fire Services Museum Victoria","500m - 1km","Public and Institutional Facilities",7
"Fire Services Museum Victoria","1km - 5km","Health Services",6
"Fire Services Museum Victoria","1km - 5km","Leisure and Recreation",55
"Fire Services Museum Victoria","1km - 5km","Place Of Assembly",27
"Fire Services Museum Victoria","1km - 5km","Place of Worship",18
"Fire Services Museum Victoria","1km - 5km","Public and Institutional Facilities",44
"Fire Services Museum Victoria","1km - 5km","Retail",4
"Fire Services Museum Victoria","5km - 10km","Leisure and Recreation",6
"The Ian Potter Museum Of Art","Within 500m","Health Services",1
"The Ian Potter Museum Of Art","Within 500m","Leisure and Recreation",1
"The Ian Potter Museum Of Art","Within 500m","Place Of Assembly",3
"The Ian Potter Museum Of Art","Within 500m","Place of Worship",1
"The Ian Potter Museum Of Art","Within 500m","Public and Institutional Facilities",1
"The Ian Potter Museum Of Art","500m - 1km","Health Services",3
"The Ian Potter Museum Of Art","500m - 1km","Leisure and Recreation",7
"The Ian Potter Museum Of Art","500m - 1km","Place Of Assembly",2
"The Ian Potter Museum Of Art","500m - 1km","Place of Worship",2
"The Ian Potter Museum Of Art","500m - 1km","Public and Institutional Facilities",5
"The Ian Potter Museum Of Art","1km - 5km","Health Services",6
"The Ian Potter Museum Of Art","1km - 5km","Leisure and Recreation",56
"The Ian Potter Museum Of Art","1km - 5km","Place Of Assembly",35
"The Ian Potter Museum Of Art","1km - 5km","Place of Worship",27
"The Ian Potter Museum Of Art","1km - 5km","Public and Institutional Facilities",47
"The Ian Potter Museum Of Art","1km - 5km","Retail",4
"The Ian Potter Museum Of Art","5km - 10km","Health Services",1
"The Ian Potter Museum Of Art","5km - 10km","Leisure and Recreation",3
"The Ian Potter Museum Of Art","5km - 10km","Place of Worship",1
"The Ian Potter Museum Of Art","5km - 10km","Public and Institutional Facilities",1
"University of Melbourne","Within 500m","Health Services",3
"University of Melbourne","Within 500m","Leisure and Recreation",1
"University of Melbourne","Within 500m","Place Of Assembly",1
"University of Melbourne","Within 500m","Public and Institutional Facilities",2
"University of Melbourne","500m - 1km","Health Services",1
"University of Melbourne","500m - 1km","Leisure and Recreation",4
"University of Melbourne","500m - 1km","Place Of Assembly",2
"University of Melbourne","500m - 1km","Place of Worship",4
"University of Melbourne","500m - 1km","Public and Institutional Facilities",5
"University of Melbourne","1km - 5km","Health Services",6
"University of Melbourne","1km - 5km","Leisure and Recreation",59
"University of Melbourne","1km - 5km","Place Of Assembly",37
"University of Melbourne","1km - 5km","Place of Worship",25
"University of Melbourne","1km - 5km","Public and Institutional Facilities",46
"University of Melbourne","1km - 5km","Retail",4
"University of Melbourne","5km - 10km","Health Services",1
"University of Melbourne","5km - 10km","Leisure and Recreation",3
"University of Melbourne","5km - 10km","Place of Worship",2
"University of Melbourne","5km - 10km","Public and Institutional Facilities",1
"QV Village","Within 500m","Leisure and Recreation",1
"QV Village","Within 500m","Place Of Assembly",6
"QV Village","Within 500m","Place of Worship",5
"QV Village","Within 500m","Public and Institutional Facilities",7
"QV Village","Within 500m","Retail",2
"QV Village","500m - 1km","Health Services",1
"QV Village","500m - 1km","Leisure and Recreation",8
"QV Village","500m - 1km","Place Of Assembly",9
"QV Village","500m - 1km","Place of Worship",9
"QV Village","500m - 1km","Public and Institutional Facilities",14
"QV Village","500m - 1km","Retail",1
"QV Village","1km - 5km","Health Services",10
"QV Village","1km - 5km","Leisure and Recreation",54
"QV Village","1km - 5km","Place Of Assembly",25
"QV Village","1km - 5km","Place of Worship",17
"QV Village","1km - 5km","Public and Institutional Facilities",33
"QV Village","1km - 5km","Retail",1
"QV Village","5km - 10km","Leisure and Recreation",4
"Parliament Reserve","Within 500m","Health Services",2
"Parliament Reserve","Within 500m","Leisure and Recreation",2
"Parliament Reserve","Within 500m","Place Of Assembly",5
"Parliament Reserve","Within 500m","Place of Worship",6
"Parliament Reserve","Within 500m","Public and Institutional Facilities",4
"Parliament Reserve","500m - 1km","Health Services",3
"Parliament Reserve","500m - 1km","Leisure and Recreation",7
"Parliament Reserve","500m - 1km","Place Of Assembly",13
"Parliament Reserve","500m - 1km","Place of Worship",9
"Parliament Reserve","500m - 1km","Public and Institutional Facilities",11
"Parliament Reserve","500m - 1km","Retail",2
"Parliament Reserve","1km - 5km","Health Services",6
"Parliament Reserve","1km - 5km","Leisure and Recreation",52
"Parliament Reserve","1km - 5km","Place Of Assembly",22
"Parliament Reserve","1km - 5km","Place of Worship",16
"Parliament Reserve","1km - 5km","Public and Institutional Facilities",39
"Parliament Reserve","1km - 5km","Retail",2
"Parliament Reserve","5km - 10km","Leisure and Recreation",6
"North Melbourne Recreation Centre (Aquatic)","Within 500m","Leisure and Recreation",3
"North Melbourne Recreation Centre (Aquatic)","Within 500m","Place of Worship",1
"North Melbourne Recreation Centre (Aquatic)","Within 500m","Public and Institutional Facilities",1
"North Melbourne Recreation Centre (Aquatic)","500m - 1km","Health Services",1
"North Melbourne Recreation Centre (Aquatic)","500m - 1km","Place of Worship",4
"North Melbourne Recreation Centre (Aquatic)","500m - 1km","Public and Institutional Facilities",3
"North Melbourne Recreation Centre (Aquatic)","1km - 5km","Health Services",9
"North Melbourne Recreation Centre (Aquatic)","1km - 5km","Leisure and Recreation",63
"North Melbourne Recreation Centre (Aquatic)","1km - 5km","Place Of Assembly",39
"North Melbourne Recreation Centre (Aquatic)","1km - 5km","Place of Worship",24
"North Melbourne Recreation Centre (Aquatic)","1km - 5km","Public and Institutional Facilities",48
"North Melbourne Recreation Centre (Aquatic)","1km - 5km","Retail",4
"North Melbourne Recreation Centre (Aquatic)","5km - 10km","Health Services",1
"North Melbourne Recreation Centre (Aquatic)","5km - 10km","Leisure and Recreation",1
"North Melbourne Recreation Centre (Aquatic)","5km - 10km","Place Of Assembly",1
"North Melbourne Recreation Centre (Aquatic)","5km - 10km","Place of Worship",2
"North Melbourne Recreation Centre (Aquatic)","5km - 10km","Public and Institutional Facilities",2
"North Melbourne Football Club","Within 500m","Leisure and Recreation",3
"North Melbourne Football Club","Within 500m","Place of Worship",1
"North Melbourne Football Club","Within 500m","Public and Institutional Facilities",1
"North Melbourne Football Club","500m - 1km","Place of Worship",3
"North Melbourne Football Club","500m - 1km","Public and Institutional Facilities",1
"North Melbourne Football Club","1km - 5km","Health Services",10
"North Melbourne Football Club","1km - 5km","Leisure and Recreation",63
"North Melbourne Football Club","1km - 5km","Place Of Assembly",39
"North Melbourne Football Club","1km - 5km","Place of Worship",24
"North Melbourne Football Club","1km - 5km","Public and Institutional Facilities",50
"North Melbourne Football Club","1km - 5km","Retail",4
"North Melbourne Football Club","5km - 10km","Health Services",1
"North Melbourne Football Club","5km - 10km","Leisure and Recreation",1
"North Melbourne Football Club","5km - 10km","Place Of Assembly",1
"North Melbourne Football Club","5km - 10km","Place of Worship",3
"North Melbourne Football Club","5km - 10km","Public and Institutional Facilities",2
"North Melbourne Recreation Centre (Gymnasium)","Within 500m","Leisure and Recreation",3
"North Melbourne Recreation Centre (Gymnasium)","Within 500m","Public and Institutional Facilities",1
"North Melbourne Recreation Centre (Gymnasium)","500m - 1km","Place of Worship",4
"North Melbourne Recreation Centre (Gymnasium)","500m - 1km","Public and Institutional Facilities",1
"North Melbourne Recreation Centre (Gymnasium)","1km - 5km","Health Services",10
"North Melbourne Recreation Centre (Gymnasium)","1km - 5km","Leisure and Recreation",63
"North Melbourne Recreation Centre (Gymnasium)","1km - 5km","Place Of Assembly",39
"North Melbourne Recreation Centre (Gymnasium)","1km - 5km","Place of Worship",24
"North Melbourne Recreation Centre (Gymnasium)","1km - 5km","Public and Institutional Facilities",50
"North Melbourne Recreation Centre (Gymnasium)","1km - 5km","Retail",4
"North Melbourne Recreation Centre (Gymnasium)","5km - 10km","Health Services",1
