"name","lat","lng"
"Hawke St/Spencer St (West Melbourne)",-37.80686,144.94672
"Abbotsford St/Spencer St (West Melbourne)",-37.805903,144.944554
"Dryburgh St/Spencer St (West Melbourne)",-37.80565,144.943437
"Hawke St/Spencer St (West Melbourne)",-37.807393,144.947307
"Flinders St/Queens Bridge St (Melbourne City)",-37.819456,144.96106
"Stanley St/Spencer St (West Melbourne)",-37.808671,144.948737
"Southern Cross Coach Terminal/Spencer St (Melbourne City)",-37.815084,144.951149
"Argyle Square/Lygon St (Carlton)",-37.802512,144.966727
"Radcliffe St/Dynon Rd (West Melbourne)",-37.803557,144.932023
"Queensberry St/Lygon St (Carlton)",-37.80457,144.966376
"Royal Melbourne Hospital/Royal Pde (Parkville)",-37.79774,144.957602
"Collins Square/Batmans Hill Dr (Docklands)",-37.821157,144.949027
"Batmans Hill Dr/Collins St (Docklands)",-37.820438,144.949115
"Melbourne Observatory/Birdwood Ave (Melbourne City)",-37.829848,144.974215
"Little Lonsdale St/Queen St (Melbourne City)",-37.811789,144.959135
"Shrine of Remembrance/Birdwood Ave (Melbourne City)",-37.829697,144.974321
"Melbourne University/Pelham St (Carlton)",-37.801993,144.959087
"Elizabeth St/Lonsdale St (Melbourne City)",-37.812511,144.961784
"King St/Lonsdale St (Melbourne City)",-37.814255,144.955807
"Royal Australasian College of Surgeons/Victoria Pde (East Melbourne)",-37.808092,144.972538
"Dudley St/Footscray Rd (West Melbourne)",-37.81226,144.942663
"Harcourt St/Courtney St (North Melbourne)",-37.799299,144.950802
"Courtney St/Wreckyn St (North Melbourne)",-37.800937,144.953301
"Royal Melbourne Hospital/Grattan St (Parkville)",-37.799438,144.955738
"Cardigan St/Grattan St (Carlton)",-37.800466,144.965114
"Lygon St/Grattan St (Carlton)",-37.800608,144.966552
"Southern Cross Station/Collins St (Melbourne City)",-37.819325,144.953509
"Southern Cross Station/Collins St (Melbourne City)",-37.819179,144.95341
"A'Beckett St/Queen St (Melbourne City)",-37.809659,144.95841
"Melbourne University/Pelham St (Carlton)",-37.802042,144.960346
"Melbourne University/Grattan St (Carlton)",-37.800116,144.96208
"Royal Melbourne Hospital/Flemington Rd (North Melbourne)",-37.800179,144.955332
"Royal Melbourne Hospital/Grattan St (Parkville)",-37.799409,144.955626
"Melbourne University/Grattan St (Parkville)",-37.800082,144.961661
"Moonee Ponds Creek/Footscray Rd (West Melbourne)",-37.810125,144.937031
"Footscray Rd (West Melbourne)",-37.807762,144.920037
"Moonee Ponds Creek/386 Footscray Rd (West Melbourne)",-37.809843,144.937414
"North Melbourne Station/Dryburgh St (West Melbourne)",-37.806807,144.942644
"Lincoln Square/Bouverie St (Carlton)",-37.801986,144.962335
"Abbotsford St/Haines St (North Melbourne)",-37.798607,144.946789
"Curzon St/Haines St (North Melbourne)",-37.798883,144.949212
"O'Shanassy St/Errol St (North Melbourne)",-37.799899,144.950104
"Dowling Pl/Wreckyn St (North Melbourne)",-37.801047,144.953423
"Swanston St/Grattan St (Carlton)",-37.800573,144.964532
"Lygon St/Grattan St (Carlton)",-37.800769,144.966514
"Rathdowne St/Grattan St (Carlton)",-37.801089,144.969379
"Westside Ave/Lorimer St (Port Melbourne)",-37.820874,144.919021
"715 Lorimer St (Port Melbourne)",-37.820678,144.924741
"Hall St/Lorimer St (Port Melbourne)",-37.820927,144.927131
"Graham St/Lorimer St (Port Melbourne)",-37.821479,144.930342
"Ingles St/Lorimer St (Port Melbourne)",-37.821931,144.932465
"Rogers St/Lorimer St (Port Melbourne)",-37.822729,144.936373
"Hartley St/Lorimer St (Southbank)",-37.823685,144.941027
"West Gate Fwy/Lorimer St (Southbank)",-37.825071,144.945056
"Lorimer St/Salmon St (Port Melbourne)",-37.821421,144.920891
"Turner St/Salmon St (Port Melbourne)",-37.823732,144.921622
"Phillip Ct/Salmon St (Port Melbourne)",-37.825888,144.9223
"Turner St/Salmon St (Port Melbourne)",-37.823738,144.921451
"Lorimer St/Salmon St (Port Melbourne)",-37.822405,144.921023
"Clarendon St/City Rd (Southbank)",-37.828235,144.957512
"West Gate Fwy/Lorimer St (Southbank)",-37.825308,144.94522
"Hartley St/Lorimer St (Southbank)",-37.823559,144.939463
"Rogers St/Lorimer St (Port Melbourne)",-37.823121,144.937101
"Ingles St/Lorimer St (Port Melbourne)",-37.82222,144.933002
"Graham St/Lorimer St (Port Melbourne)",-37.821562,144.929942
"Hall St/Lorimer St (Port Melbourne)",-37.820956,144.92571
"Salmon St/Lorimer St (Port Melbourne)",-37.82089,144.921474
"Westside Ave/Lorimer St (Port Melbourne)",-37.821109,144.91856
"City Rd/Queens Bridge St (Southbank)",-37.825552,144.960244
"Exhibition Building/Rathdowne St (Carlton)",-37.804299,144.969472
"Carlton Gardens/Rathdowne St (Carlton)",-37.801478,144.969947
"Elgin St/Rathdowne St (Carlton)",-37.797901,144.970534
"Freight Terminal/Dynon Rd (West Melbourne)",-37.802706,144.925142
"Lloyd St/Dynon Rd (West Melbourne)",-37.80324,144.929886
"Radcliffe St/Dynon Rd (West Melbourne)",-37.803835,144.932424
"Carlton Gardens/Victoria St (Carlton)",-37.807483,144.97118
"Melbourne Central/Lonsdale St (Melbourne City)",-37.811598,144.964195
"Collins St/Queen St (Melbourne City)",-37.816545,144.961571
"Clarendon St/City Rd (Southbank)",-37.82808,144.957425
"City Rd/Queens Bridge St (Southbank)",-37.82602,144.959743
"Victoria St/Rathdowne St (Carlton)",-37.806954,144.968752
"Exhibition Building/Rathdowne St (Carlton)",-37.804815,144.969106
"Grattan St/Lygon St (Carlton)",-37.801107,144.966755
"Argyle Square/Lygon St (Carlton)",-37.802626,144.966508
"Queensberry St/Lygon St (Carlton)",-37.805204,144.96604
"Adderley St/Dudley St (West Melbourne)",-37.810837,144.948404
"Festival Hall/Dudley St (West Melbourne)",-37.811035,144.947354
"Waterfront City/Footscray Rd (West Melbourne)",-37.811836,144.941095
"North Melbourne Station/Dryburgh St (West Melbourne)",-37.806943,144.942651
"Queen St/Lonsdale St (Melbourne City)",-37.813269,144.959219
"Melbourne University/Swanston St (Carlton)",-37.800121,144.963908
"Nicholson St/Elgin St (Carlton)",-37.797756,144.974138
"Faraday St/Lygon St (Carlton)",-37.798969,144.967143
"Melbourne Museum/Rathdowne St (Carlton)",-37.8023,144.96955
"Grattan St/Rathdowne St (Carlton)",-37.800692,144.969844
"Elgin St/Rathdowne St (Carlton)",-37.797762,144.970333
"A'Beckett St/Queen St (Melbourne City)",-37.810236,144.958405
"Todd Rd/Wharf Rd (Port Melbourne)",-37.827931,144.908893
"Fishermans Bend/Wharf Rd (Port Melbourne)",-37.82907,144.907065
"Todd Rd/Wharf Rd (Port Melbourne)",-37.827822,144.908828
"Wirraway Dr/Todd Rd (Port Melbourne)",-37.826247,144.911508
"Sabre Dr/Lorimer St (Port Melbourne)",-37.824674,144.906633
"Canberra St/Lorimer St (Port Melbourne)",-37.827327,144.90282
"Sardine St/Lorimer St (Port Melbourne)",-37.829531,144.901076
"Sardine St/Lorimer St (Port Melbourne)",-37.829981,144.900529
"Canberra St/Lorimer St (Port Melbourne)",-37.82695,144.902876
"Sabre Dr/Lorimer St (Port Melbourne)",-37.824519,144.906535
"DST Group/Lorimer St (Port Melbourne)",-37.821874,144.913403
"Bayside Ave/Lorimer St (Port Melbourne)",-37.821269,144.916397
"Bayside Ave/Lorimer St (Port Melbourne)",-37.821455,144.916187
"DST Group/Lorimer St (Port Melbourne)",-37.82207,144.913273
"Wirraway Dr/Todd Rd (Port Melbourne)",-37.825411,144.9116
"Perce White Reserve/Todd Rd (Port Melbourne)",-37.838189,144.915148
